[00:00:01,040 --> 00:00:07,839] Ser we start
[00:22:20,720 --> 00:22:26,919] practically okay so I think uh that's it
[00:22:24,360 --> 00:22:29,200] from the attention based ASR and I just
[00:22:26,919 --> 00:22:32,200] want to summarize that uh again
[00:22:29,200 --> 00:22:34,039] attention based doesn't have any
[00:22:32,200 --> 00:22:38,120] condition independent assumption and
[00:22:34,039 --> 00:22:40,799] very beautiful uh by way this is so
[00:22:38,120 --> 00:22:43,600] beautiful so that I actually started to
[00:22:40,799 --> 00:22:46,400] use the the attention based data uh
[00:22:43,600 --> 00:22:49,720] first I kind of found this
[00:22:46,400 --> 00:22:54,440] method uh but the uh there's couple of
[00:22:49,720 --> 00:22:57,440] issues like uh the the uh the teacher
[00:22:54,440 --> 00:22:59,320] foring is one issue and uh also
[00:22:57,440 --> 00:23:02,200] attention where
[00:22:59,320 --> 00:23:05,440] especially cross attention is very
[00:23:02,200 --> 00:23:09,000] flexible uh which is not the appropriate
[00:23:05,440 --> 00:23:13,039] for the model uh modeling for speech uh
[00:23:09,000 --> 00:23:16,000] processing speech and so on so that the
[00:23:13,039 --> 00:23:21,240] uh the other people other method method
[00:23:16,000 --> 00:23:23,880] like CTC and RN transer is widely used
[00:23:21,240 --> 00:23:26,640] as an alternative to attention based
[00:23:23,880 --> 00:23:29,279] ASR okay that this from the attention
[00:23:26,640 --> 00:23:34,000] based ASR and any question
[00:23:29,279 --> 00:23:34,000] so okay now move to the another one
[00:23:34,360 --> 00:23:40,559] CTC um CTC actually has a lot of
[00:23:37,760 --> 00:23:43,159] explanation I did right especially try
[00:23:40,559 --> 00:23:46,320] to have a connection with the hmm so
[00:23:43,159 --> 00:23:48,120] that most of the part is actually review
[00:23:46,320 --> 00:23:50,960] uh and some of the part is just more
[00:23:48,120 --> 00:23:54,400] like tips or technical kind of details
[00:23:50,960 --> 00:23:59,120] about CTC and then I also explain about
[00:23:54,400 --> 00:23:59,120] the some Advanced CTC techniques
[00:23:59,840 --> 00:24:07,720] okay so uh this is the review of CTC I
[00:24:04,240 --> 00:24:11,039] hope people just remember it but I just
[00:24:07,720 --> 00:24:14,240] want to kind of recap some of them uh we
[00:24:11,039 --> 00:24:16,640] introduced the plank symbol right so
[00:24:14,240 --> 00:24:19,960] that we can adust adjust
[00:24:16,640 --> 00:24:23,679] links and the uh with that we can
[00:24:19,960 --> 00:24:27,640] actually find the the defined alignment
[00:24:23,679 --> 00:24:30,600] variable alignment variable it's usually
[00:24:27,640 --> 00:24:34,120] same length without the input feature
[00:24:30,600 --> 00:24:37,559] right okay you still remember that right
[00:24:34,120 --> 00:24:40,640] and then similar to the hmm alignment is
[00:24:37,559 --> 00:24:44,200] actually the quite other the the many
[00:24:40,640 --> 00:24:47,360] variations it's actually exponential so
[00:24:44,200 --> 00:24:52,640] we have to uh the consider the summation
[00:24:47,360 --> 00:24:55,600] over all alignment right uh however Fe
[00:24:52,640 --> 00:24:58,440] is very difficult but fortunately we
[00:24:55,600 --> 00:25:01,120] have a dynamic programming to actually
[00:24:58,440 --> 00:25:04,360] consider all possible alignment to get
[00:25:01,120 --> 00:25:07,360] the likelihood or even get the gradient
[00:25:04,360 --> 00:25:12,559] that is what uh we actually
[00:25:07,360 --> 00:25:16,960] learned and the I will the uh also I
[00:25:12,559 --> 00:25:20,919] also we also explained about the how to
[00:25:16,960 --> 00:25:25,279] uh represent the uh alignment and the
[00:25:20,919 --> 00:25:28,640] whiches are based on the Tories right so
[00:25:25,279 --> 00:25:31,320] just remember that you know uh they many
[00:25:28,640 --> 00:25:35,720] cases uh it can be starting from the
[00:25:31,320 --> 00:25:38,799] Brank symbol or uh initial symbol and
[00:25:35,720 --> 00:25:44,320] then reaching to uh the end of the
[00:25:38,799 --> 00:25:45,640] symbol or blank symbol and then uh we
[00:25:44,320 --> 00:25:49,640] can
[00:25:45,640 --> 00:25:53,880] skip the uh the blank symbol but if we
[00:25:49,640 --> 00:25:56,559] have a conductive uh the the token we
[00:25:53,880 --> 00:25:58,679] cannot actually skip the Brank symbol so
[00:25:56,559 --> 00:26:02,159] that we try to distinguish this one is
[00:25:58,679 --> 00:26:05,559] the same e uh the single e or the
[00:26:02,159 --> 00:26:09,279] repetition of the E
[00:26:05,559 --> 00:26:12,399] okay so given that let's discuss about
[00:26:09,279 --> 00:26:15,000] the this part which is you know to
[00:26:12,399 --> 00:26:18,159] providing the probability for the the
[00:26:15,000 --> 00:26:20,399] CTC right and after this one was given
[00:26:18,159 --> 00:26:24,080] we are using this kind of a manner to
[00:26:20,399 --> 00:26:27,120] compute the all entire Los and so on and
[00:26:24,080 --> 00:26:30,600] I didn't really explain about this part
[00:26:27,120 --> 00:26:32,840] but this is actually very similar to the
[00:26:30,600 --> 00:26:36,720] encoder in the attention based
[00:26:32,840 --> 00:26:41,600] approaches or even acoustic modeling
[00:26:36,720 --> 00:26:45,880] but what it is doing is
[00:26:41,600 --> 00:26:47,520] just every kind of a time stamp we try
[00:26:45,880 --> 00:26:49,520] to predict the
[00:26:47,520 --> 00:26:52,080] token that's
[00:26:49,520 --> 00:26:55,320] it of course we don't know the kind of
[00:26:52,080 --> 00:26:59,440] alignment so this part is controlled
[00:26:55,320 --> 00:27:02,360] when during the training uh with a CTC
[00:26:59,440 --> 00:27:06,440] spe consider all possible paths during
[00:27:02,360 --> 00:27:06,440] the inference we just using a beam SE
[00:27:07,080 --> 00:27:16,159] oring so this part is completely uh the
[00:27:11,880 --> 00:27:18,840] same as the attention based encod the
[00:27:16,159 --> 00:27:22,240] encod in the attention based models or
[00:27:18,840 --> 00:27:27,360] acostic models so this means that we can
[00:27:22,240 --> 00:27:30,840] just uh repeat uh what we have learned
[00:27:27,360 --> 00:27:33,679] we can use a neural network we can use
[00:27:30,840 --> 00:27:36,159] the comos neural network we can use the
[00:27:33,679 --> 00:27:40,080] BM or we can use the Transformer
[00:27:36,159 --> 00:27:42,799] conforma Branch for and so on uh the
[00:27:40,080 --> 00:27:45,760] actually the the the this kind of a
[00:27:42,799 --> 00:27:49,000] Evolution directly are the affect the
[00:27:45,760 --> 00:27:49,000] CDC performance as
[00:27:49,039 --> 00:27:54,720] well after we have this kind of the
[00:27:52,519 --> 00:27:57,720] encoder the the
[00:27:54,720 --> 00:27:59,360] representation what we will do is again
[00:27:57,720 --> 00:28:01,640] we will get a kind of this kind of
[00:27:59,360 --> 00:28:03,440] probability which means that we using a
[00:28:01,640 --> 00:28:07,159] soft Marx
[00:28:03,440 --> 00:28:09,760] right and to do the soft Marx we just
[00:28:07,159 --> 00:28:11,080] converting this hidden state to the
[00:28:09,760 --> 00:28:13,440] vocabulary
[00:28:11,080 --> 00:28:17,240] size plus
[00:28:13,440 --> 00:28:21,360] one what plus one comes
[00:28:17,240 --> 00:28:25,360] from Brank yes correct
[00:28:21,360 --> 00:28:28,919] yes so basically that's it and then we
[00:28:25,360 --> 00:28:31,799] can actually make the uh the CTC
[00:28:28,919 --> 00:28:33,480] so it is very actually simple and then
[00:28:31,799 --> 00:28:36,640] loss function part is a little bit
[00:28:33,480 --> 00:28:39,200] complicated as you are doing in the uh
[00:28:36,640 --> 00:28:41,600] the you finished in the the coding
[00:28:39,200 --> 00:28:46,480] assignment three which is know for the
[00:28:41,600 --> 00:28:48,919] back but fortunately many of the current
[00:28:46,480 --> 00:28:51,600] the ne Network Frameworks actually
[00:28:48,919 --> 00:28:54,200] providing the CTC R so you guys actually
[00:28:51,600 --> 00:28:56,880] don't have to implement it by yourself
[00:28:54,200 --> 00:28:59,279] you can just call the the the function
[00:28:56,880 --> 00:29:01,159] but for this part particular the coding
[00:28:59,279 --> 00:29:03,640] assignment we want you guys to
[00:29:01,159 --> 00:29:07,159] understand it so we put the part of the
[00:29:03,640 --> 00:29:10,399] the forward backward algorithm uh in the
[00:29:07,159 --> 00:29:12,919] uh as a coding assignment and so on so
[00:29:10,399 --> 00:29:16,360] basically that's it and then we can
[00:29:12,919 --> 00:29:20,039] actually get the CTC uh the the uh we
[00:29:16,360 --> 00:29:22,919] can basically the Train the CTC uh very
[00:29:20,039 --> 00:29:26,039] easily so the compared with attention
[00:29:22,919 --> 00:29:28,760] based encod decoder it sounds simple
[00:29:26,039 --> 00:29:31,519] right we don't have a Closs we don't
[00:29:28,760 --> 00:29:35,080] have a the decoder we don't have to care
[00:29:31,519 --> 00:29:37,919] about the auto regressive the generation
[00:29:35,080 --> 00:29:41,000] we just have an encoder we just put a CT
[00:29:37,919 --> 00:29:44,519] Z function that's
[00:29:41,000 --> 00:29:47,760] it okay uh however uh it's actually has
[00:29:44,519 --> 00:29:49,760] a several tips which can be important
[00:29:47,760 --> 00:29:52,200] when you guys are working on the the to
[00:29:49,760 --> 00:29:56,200] project so on so I will explain bit
[00:29:52,200 --> 00:29:58,720] little bit about it I think uh that I
[00:29:56,200 --> 00:30:02,600] can you know the skip many of the
[00:29:58,720 --> 00:30:07,519] explanation here but as you guys may
[00:30:02,600 --> 00:30:11,159] remember uh CTC actually has some
[00:30:07,519 --> 00:30:13,000] constraint one of the biggest constraint
[00:30:11,159 --> 00:30:18,159] is
[00:30:13,000 --> 00:30:23,000] that input must be longer than the
[00:30:18,159 --> 00:30:23,000] output so we have a
[00:30:23,399 --> 00:30:28,480] um
[00:30:25,760 --> 00:30:29,720] and maybe I can move the this one this
[00:30:28,480 --> 00:30:35,600] is the kind of a
[00:30:29,720 --> 00:30:39,880] typical uh the CTC pass and we have a
[00:30:35,600 --> 00:30:43,200] skip here right like this one we have a
[00:30:39,880 --> 00:30:43,200] skip in the
[00:30:46,240 --> 00:30:54,240] sorry we have a skip here but we don't
[00:30:49,840 --> 00:30:57,799] have a skip like this right we don't
[00:30:54,240 --> 00:30:58,880] have a skip like this right which means
[00:30:57,799 --> 00:31:04,320] that
[00:30:58,880 --> 00:31:09,080] to go up we always have to consume one
[00:31:04,320 --> 00:31:12,919] frame right this means that if the
[00:31:09,080 --> 00:31:15,320] output length is longer than CDC than
[00:31:12,919 --> 00:31:18,799] the input length we actually cannot
[00:31:15,320 --> 00:31:22,120] reach to the end and in this case
[00:31:18,799 --> 00:31:26,080] actually we cannot train the CTC model
[00:31:22,120 --> 00:31:30,399] so this actually important uh the the
[00:31:26,080 --> 00:31:34,440] the the uh the limitation of the
[00:31:30,399 --> 00:31:37,639] CTC the uh the input LS must be always
[00:31:34,440 --> 00:31:42,480] the longer than
[00:31:37,639 --> 00:31:46,000] output fortunately speech satisfy this
[00:31:42,480 --> 00:31:46,000] condition what about
[00:31:49,960 --> 00:31:58,840] TTS TTS actually cannot satisfy this
[00:31:54,360 --> 00:32:02,240] condition so TTS is not used to p CTC is
[00:31:58,840 --> 00:32:04,480] not used for T the TTS so often there
[00:32:02,240 --> 00:32:06,320] are a lot of ways to kind of Faking this
[00:32:04,480 --> 00:32:09,000] like you know
[00:32:06,320 --> 00:32:12,120] upsampling the token part and then
[00:32:09,000 --> 00:32:16,720] making it satisfy with a CTC condition
[00:32:12,120 --> 00:32:19,440] and then try to use CTC for the the
[00:32:16,720 --> 00:32:23,399] speech synthesis DTS there are such kind
[00:32:19,440 --> 00:32:23,399] of techniques exist but generally
[00:32:23,480 --> 00:32:30,080] no okay and this means that the
[00:32:28,480 --> 00:32:33,919] if it getting
[00:32:30,080 --> 00:32:37,320] shorter uh we actually the still we can
[00:32:33,919 --> 00:32:38,840] find this path but the if getting
[00:32:37,320 --> 00:32:41,679] shorter and
[00:32:38,840 --> 00:32:46,679] shorter uh there is a
[00:32:41,679 --> 00:32:52,679] problem and the tal three and this SE
[00:32:46,679 --> 00:32:52,679] case uh first other short quit
[00:33:08,120 --> 00:33:15,720] and maybe you can also open the to
[00:33:12,440 --> 00:33:15,720] to we can
[00:33:16,720 --> 00:33:22,279] do yeah please do
[00:33:19,320 --> 00:33:23,480] the try the both the sh quiz one and the
[00:33:22,279 --> 00:33:28,480] shter quiz
[00:33:23,480 --> 00:33:30,840] two shter quiz one is uh the similar to
[00:33:28,480 --> 00:33:35,919] this case s
[00:33:30,840 --> 00:33:40,399] e and the shter C two is actually the
[00:33:35,919 --> 00:33:43,279] one character is changed from e to
[00:33:40,399 --> 00:33:47,639] a there
[00:33:43,279 --> 00:33:49,480] um so the answer first
[00:33:47,639 --> 00:33:55,240] answer
[00:33:49,480 --> 00:33:58,360] is uh e case right I forgot which one is
[00:33:55,240 --> 00:34:02,600] no uh actually we cannot
[00:33:58,360 --> 00:34:08,679] the reach the uh the end of the the
[00:34:02,600 --> 00:34:14,119] symbol because uh the or the because uh
[00:34:08,679 --> 00:34:18,520] the uh we cannot uh the the uh the pass
[00:34:14,119 --> 00:34:22,599] the blank symbol here so we actually
[00:34:18,520 --> 00:34:23,399] have to go through this one this one and
[00:34:22,599 --> 00:34:27,520] this
[00:34:23,399 --> 00:34:28,440] one even character LS is three if we
[00:34:27,520 --> 00:34:32,079] have a
[00:34:28,440 --> 00:34:34,760] consective character and then we
[00:34:32,079 --> 00:34:38,159] actually have to go through the blank
[00:34:34,760 --> 00:34:41,560] and we actually have to have our
[00:34:38,159 --> 00:34:45,879] additional uh the the thingss to satisfy
[00:34:41,560 --> 00:34:48,679] this kind of a condition while if we are
[00:34:45,879 --> 00:34:52,480] not using the
[00:34:48,679 --> 00:34:56,119] uh if uh this is not the
[00:34:52,480 --> 00:34:59,359] consective uh character and then we can
[00:34:56,119 --> 00:35:03,040] actually skip this so in this cases we
[00:34:59,359 --> 00:35:04,240] have a pass from this one to this one to
[00:35:03,040 --> 00:35:07,520] this
[00:35:04,240 --> 00:35:10,839] one and then actually uh we can reach
[00:35:07,520 --> 00:35:14,160] the the end of the sentence and then we
[00:35:10,839 --> 00:35:16,440] can compute the loss so it's not very
[00:35:14,160 --> 00:35:19,560] simple actually we also have to consider
[00:35:16,440 --> 00:35:22,599] the the consecutive uh the the the
[00:35:19,560 --> 00:35:25,800] tokens and so on but generally please
[00:35:22,599 --> 00:35:29,839] remember that the CTC is not well
[00:35:25,800 --> 00:35:35,560] defined if the input lenss is uh the
[00:35:29,839 --> 00:35:38,680] nearly shorter than the uh the output
[00:35:35,560 --> 00:35:41,960] lenss and this is actually one of the
[00:35:38,680 --> 00:35:45,400] big uh the
[00:35:41,960 --> 00:35:48,320] uh uh the tips so I just want to kind of
[00:35:45,400 --> 00:35:50,200] emphasize it now that the you guys are
[00:35:48,320 --> 00:35:51,960] actually working on the time project and
[00:35:50,200 --> 00:35:57,160] so on some of them are working on the
[00:35:51,960 --> 00:36:00,119] CTC or CTC attention and so on and uh uh
[00:35:57,160 --> 00:36:04,720] this actually quite often
[00:36:00,119 --> 00:36:08,319] happens uh when uh we actually using the
[00:36:04,720 --> 00:36:11,280] uh data spe is not the well
[00:36:08,319 --> 00:36:16,079] arranged so most of the cases actually
[00:36:11,280 --> 00:36:22,760] speech is uh the speech input is longer
[00:36:16,079 --> 00:36:27,280] than output token most of the cases CTC
[00:36:22,760 --> 00:36:28,240] uh the the condition is satisfied so we
[00:36:27,280 --> 00:36:31,800] actually
[00:36:28,240 --> 00:36:35,599] don't care so much about the usual
[00:36:31,800 --> 00:36:39,280] cases but the if for example you try to
[00:36:35,599 --> 00:36:41,880] use a new data if you kind of a made a
[00:36:39,280 --> 00:36:44,480] mistake in the data
[00:36:41,880 --> 00:36:47,920] preparation if you for example made a
[00:36:44,480 --> 00:36:49,880] mistake or a little bit kind of a wrong
[00:36:47,920 --> 00:36:54,200] parameter setting in the down sampling
[00:36:49,880 --> 00:36:56,960] and so on and then CTC condition is not
[00:36:54,200 --> 00:36:58,880] satisfied and then what's happening
[00:36:56,960 --> 00:37:00,920] actually if many of the sentences
[00:36:58,880 --> 00:37:03,319] doesn't satisfy this kind of a
[00:37:00,920 --> 00:37:05,839] conditions training becomes very
[00:37:03,319 --> 00:37:08,240] unstable uh because that we cannot use
[00:37:05,839 --> 00:37:11,480] the full amount of data we have to use
[00:37:08,240 --> 00:37:13,720] the data that only satisfying the CTC
[00:37:11,480 --> 00:37:17,640] condition so this is actually one of the
[00:37:13,720 --> 00:37:22,319] quite the other frequent other the
[00:37:17,640 --> 00:37:25,000] questions that we kind of accept are the
[00:37:22,319 --> 00:37:28,200] the the the your kind of our training is
[00:37:25,000 --> 00:37:31,319] very unstable and then some cas Cas is
[00:37:28,200 --> 00:37:34,119] training is not kind of working at all
[00:37:31,319 --> 00:37:37,240] uh how to deal with that this a very
[00:37:34,119 --> 00:37:41,760] typical question uh we kind
[00:37:37,240 --> 00:37:45,160] of we received and then in these cases
[00:37:41,760 --> 00:37:48,520] please check the output in the input
[00:37:45,160 --> 00:37:53,079] L and then if uh there are some kind of
[00:37:48,520 --> 00:37:56,839] issues related CTC related errors mostly
[00:37:53,079 --> 00:37:59,160] uh by fixing this part you can actually
[00:37:56,839 --> 00:38:01,280] solve this problems and so
[00:37:59,160 --> 00:38:04,359] on
[00:38:01,280 --> 00:38:06,800] okay so this is the the one of the
[00:38:04,359 --> 00:38:12,480] important tips in
[00:38:06,800 --> 00:38:15,880] CTC and the another uh the uh remark of
[00:38:12,480 --> 00:38:21,200] CTC compared with attention based inoda
[00:38:15,880 --> 00:38:25,520] decoda is that output
[00:38:21,200 --> 00:38:29,440] dependency so remember that the the
[00:38:25,520 --> 00:38:31,400] uh the atten based encod decoder we
[00:38:29,440 --> 00:38:33,280] actually using a condition Independence
[00:38:31,400 --> 00:38:36,040] we actually don't use condition
[00:38:33,280 --> 00:38:38,000] Independence assumption at all right
[00:38:36,040 --> 00:38:40,720] which means that we fully take care of
[00:38:38,000 --> 00:38:44,359] the dependency of the output
[00:38:40,720 --> 00:38:46,800] label however CTC is actually are using
[00:38:44,359 --> 00:38:51,800] the conditional Independence assumption
[00:38:46,800 --> 00:38:51,800] here and please look at from here to
[00:38:52,280 --> 00:38:58,160] here for me it's a super big
[00:38:55,839 --> 00:39:00,040] approximation they actually don't
[00:38:58,160 --> 00:39:04,040] consider any
[00:39:00,040 --> 00:39:06,800] history so uh this is actually making
[00:39:04,040 --> 00:39:09,640] the problem simple but of course in
[00:39:06,800 --> 00:39:11,680] terms of model it is not great right
[00:39:09,640 --> 00:39:14,720] because speech has a dependency in the
[00:39:11,680 --> 00:39:17,880] output token output token sentence has a
[00:39:14,720 --> 00:39:20,560] dependency right so this actually has a
[00:39:17,880 --> 00:39:23,119] super big assumption and it actually has
[00:39:20,560 --> 00:39:25,240] a pros and cons first you know
[00:39:23,119 --> 00:39:27,000] approximation is not always bad
[00:39:25,240 --> 00:39:28,319] approximation is important for our
[00:39:27,000 --> 00:39:31,640] engineer
[00:39:28,319 --> 00:39:34,440] this becomes our model simple right this
[00:39:31,640 --> 00:39:37,359] is a b quite big benefit of
[00:39:34,440 --> 00:39:40,240] CDC and the second part I will explain
[00:39:37,359 --> 00:39:44,760] later inference actually becom super
[00:39:40,240 --> 00:39:48,440] fast by using this kind of particular
[00:39:44,760 --> 00:39:50,720] condition and another part is that we
[00:39:48,440 --> 00:39:53,480] can combine the language mod
[00:39:50,720 --> 00:39:56,359] safety this actually doesn't consider
[00:39:53,480 --> 00:39:59,079] any history right which means that we
[00:39:56,359 --> 00:40:01,599] actually don't have a langage model
[00:39:59,079 --> 00:40:04,599] component as I mentioned attention based
[00:40:01,599 --> 00:40:07,119] enod decoder the language model
[00:40:04,599 --> 00:40:10,079] component and then if we combine with
[00:40:07,119 --> 00:40:12,520] the language model it has some kind of a
[00:40:10,079 --> 00:40:15,319] conflict and then we may need some kind
[00:40:12,520 --> 00:40:19,079] of regular language model treatment and
[00:40:15,319 --> 00:40:22,400] so on but CTC doesn't have this so CTC
[00:40:19,079 --> 00:40:25,280] can actually safely combine the large
[00:40:22,400 --> 00:40:28,119] langage models and so on without any
[00:40:25,280 --> 00:40:29,079] kind of the the performance degradation
[00:40:28,119 --> 00:40:32,560] and so
[00:40:29,079 --> 00:40:35,480] on it's you know that doesn't hold the
[00:40:32,560 --> 00:40:37,240] the language model uh it's the sound
[00:40:35,480 --> 00:40:40,119] like the the
[00:40:37,240 --> 00:40:43,000] disadvantage but the by combining the
[00:40:40,119 --> 00:40:45,079] external language model it becomes quite
[00:40:43,000 --> 00:40:46,800] a powerful but this means that it's not
[00:40:45,079 --> 00:40:48,880] fly end to end right we using the
[00:40:46,800 --> 00:40:51,599] additional model and so on so some
[00:40:48,880 --> 00:40:54,599] people may call is the CTC is not the pr
[00:40:51,599 --> 00:40:56,319] and to end which is comes from this part
[00:40:54,599 --> 00:41:01,119] we always need to have some language
[00:40:56,319 --> 00:41:04,119] model to the make CTC to be working
[00:41:01,119 --> 00:41:06,760] reasonably but of course this is
[00:41:04,119 --> 00:41:08,480] approximation this is a big advantage
[00:41:06,760 --> 00:41:09,720] and the performance is definitely
[00:41:08,480 --> 00:41:12,000] dropped
[00:41:09,720 --> 00:41:14,000] unfortunately and compared with the
[00:41:12,000 --> 00:41:17,440] attention based encoder decod and RN
[00:41:14,000 --> 00:41:20,640] transer CTC itself without langage model
[00:41:17,440 --> 00:41:20,640] generally performance is
[00:41:20,800 --> 00:41:28,200] worse okay so I will also explain about
[00:41:24,400 --> 00:41:33,079] this inference part
[00:41:28,200 --> 00:41:37,640] so uh the the CTC is actually uh the
[00:41:33,079 --> 00:41:41,599] getting the uh inference in a very fast
[00:41:37,640 --> 00:41:44,839] manner so we CTC by the way very
[00:41:41,599 --> 00:41:49,000] strictly try to solve the CTC with kind
[00:41:44,839 --> 00:41:51,560] of considering the uh the uh the CTC
[00:41:49,000 --> 00:41:55,319] Rule and the language model we need beam
[00:41:51,560 --> 00:41:57,319] search but actually we can also use the
[00:41:55,319 --> 00:41:59,240] greedy search is kind of one
[00:41:57,319 --> 00:42:03,599] approximation but it's very
[00:41:59,240 --> 00:42:06,520] powerful uh G such the uh remember that
[00:42:03,599 --> 00:42:10,760] we actually taking the AR
[00:42:06,520 --> 00:42:14,240] Mar every time St
[00:42:10,760 --> 00:42:16,920] right and then let's do the CTC and do
[00:42:14,240 --> 00:42:20,680] the the uh
[00:42:16,920 --> 00:42:23,440] the uh the good research for this
[00:42:20,680 --> 00:42:28,400] equations this means that you know that
[00:42:23,440 --> 00:42:31,559] we first do the kind of the the agmax in
[00:42:28,400 --> 00:42:37,359] the first time stamp second time stamp
[00:42:31,559 --> 00:42:40,319] to do the the agmax are the the last
[00:42:37,359 --> 00:42:44,119] time stamp to do the the
[00:42:40,319 --> 00:42:47,440] aax however there is no
[00:42:44,119 --> 00:42:50,839] dependency in the history in the CTC
[00:42:47,440 --> 00:42:54,319] actually this agmax part can be
[00:42:50,839 --> 00:42:58,040] independently are the are the
[00:42:54,319 --> 00:42:59,280] appli and then actually this part is
[00:42:58,040 --> 00:43:03,520] fully
[00:42:59,280 --> 00:43:06,880] paralyzed so to take the arax in the
[00:43:03,520 --> 00:43:09,119] second part we don't have to uh the care
[00:43:06,880 --> 00:43:12,280] about the result of the P one because it
[00:43:09,119 --> 00:43:14,480] doesn't depend on that mathematically
[00:43:12,280 --> 00:43:17,240] okay right since it doesn't depend on
[00:43:14,480 --> 00:43:18,800] that we can actually even we can change
[00:43:17,240 --> 00:43:22,079] the order which is fine because it
[00:43:18,800 --> 00:43:24,520] doesn't depend but this property means
[00:43:22,079 --> 00:43:25,880] that we can actually even parallelize
[00:43:24,520 --> 00:43:28,920] the search
[00:43:25,880 --> 00:43:32,599] part so so this is actually the making
[00:43:28,920 --> 00:43:35,160] the the search very very first GRE is
[00:43:32,599 --> 00:43:37,200] search is already you guys think that
[00:43:35,160 --> 00:43:39,040] it's very fast right because it's just
[00:43:37,200 --> 00:43:40,760] kind of one time one time to make some
[00:43:39,040 --> 00:43:43,400] decision instead of beam search and so
[00:43:40,760 --> 00:43:46,680] on but this one is even faster because
[00:43:43,400 --> 00:43:50,800] this part is paralyzed so this the
[00:43:46,680 --> 00:43:53,720] approach is also quite kind of important
[00:43:50,800 --> 00:43:55,920] in the recoding so due to that the CTC
[00:43:53,720 --> 00:43:58,200] is still using as a powerful the
[00:43:55,920 --> 00:44:02,200] techniques uh instead of having a
[00:43:58,200 --> 00:44:04,680] complicated beam search or the reducing
[00:44:02,200 --> 00:44:07,359] having also additional the the
[00:44:04,680 --> 00:44:09,920] computational cost we can actually
[00:44:07,359 --> 00:44:13,440] parallelize and getting the result very
[00:44:09,920 --> 00:44:16,240] quickly by the way this nature comes
[00:44:13,440 --> 00:44:18,559] from the the the strong kind of
[00:44:16,240 --> 00:44:20,280] conditional Independence assumption we
[00:44:18,559 --> 00:44:23,760] actually removing the kind of Auto
[00:44:20,280 --> 00:44:26,599] regressive nature right so this model is
[00:44:23,760 --> 00:44:30,000] also called non Auto regression model
[00:44:26,599 --> 00:44:33,040] not only for the CTC all other kind of
[00:44:30,000 --> 00:44:35,000] model which has a kind of the the weak
[00:44:33,040 --> 00:44:37,880] dependency or less dependency or no
[00:44:35,000 --> 00:44:40,640] dependency in the other conditions we
[00:44:37,880 --> 00:44:43,200] can actually avoid Auto regressive the
[00:44:40,640 --> 00:44:45,480] generation and we can actually paralize
[00:44:43,200 --> 00:44:47,680] the decoding part so this kind of
[00:44:45,480 --> 00:44:50,359] property is no called non Auto
[00:44:47,680 --> 00:44:52,440] regressive and CTC is one of the very
[00:44:50,359 --> 00:44:55,200] powerful non Auto regressive model in
[00:44:52,440 --> 00:44:55,200] speech at
[00:44:55,839 --> 00:45:02,280] processing okay so uh this is about the
[00:44:59,000 --> 00:45:05,040] basic of the CDC the part of the the the
[00:45:02,280 --> 00:45:07,800] the explanation is just reviewing it but
[00:45:05,040 --> 00:45:11,200] in addition I kind of giving some of the
[00:45:07,800 --> 00:45:13,559] the tips of the CDC and now I am moving
[00:45:11,200 --> 00:45:16,440] to a little bit more advanced CTC
[00:45:13,559 --> 00:45:20,119] technology we still have time right okay
[00:45:16,440 --> 00:45:22,319] good so that I just want to recap that
[00:45:20,119 --> 00:45:24,160] CTC has a conditional Independence
[00:45:22,319 --> 00:45:28,200] assumption
[00:45:24,160 --> 00:45:31,520] right which making the CTC very
[00:45:28,200 --> 00:45:36,240] unique however the
[00:45:31,520 --> 00:45:39,280] question CTC really do not hold any
[00:45:36,240 --> 00:45:41,400] token dependency in the
[00:45:39,280 --> 00:45:44,920] model what do you
[00:45:41,400 --> 00:45:47,800] think mathematically output lbel doesn't
[00:45:44,920 --> 00:45:50,960] have a dependency right so this means
[00:45:47,800 --> 00:45:54,319] that the CDC really doesn't hold any
[00:45:50,960 --> 00:45:54,319] token dependency
[00:46:07,880 --> 00:46:14,680] Yes actually the hidden state
[00:46:11,800 --> 00:46:17,240] is quite dependent
[00:46:14,680 --> 00:46:20,800] right and
[00:46:17,240 --> 00:46:25,520] uh it is not very
[00:46:20,800 --> 00:46:27,760] explicitly uh the the uh dependent but
[00:46:25,520 --> 00:46:31,200] hidden State have some some already
[00:46:27,760 --> 00:46:34,200] information about the pon or some other
[00:46:31,200 --> 00:46:35,760] token already right and the neur network
[00:46:34,200 --> 00:46:37,920] what they are doing is gradually
[00:46:35,760 --> 00:46:40,240] changing the representation from the
[00:46:37,920 --> 00:46:42,559] lower layer which is more like a just a
[00:46:40,240 --> 00:46:44,760] pure acoustic feature having a more kind
[00:46:42,559 --> 00:46:46,640] of the optimization and then they
[00:46:44,760 --> 00:46:48,119] they're getting the the hidden state to
[00:46:46,640 --> 00:46:50,240] be more kind of meaningful
[00:46:48,119 --> 00:46:52,599] representation and the final one becomes
[00:46:50,240 --> 00:46:54,960] just a pony so intermediate
[00:46:52,599 --> 00:46:56,960] representation actually has some P
[00:46:54,960 --> 00:46:59,680] information already right of course it
[00:46:56,960 --> 00:47:02,520] is not easy to know fly visualize it but
[00:46:59,680 --> 00:47:05,839] definitely intermediate representation
[00:47:02,520 --> 00:47:08,920] already has for like
