[00:00:00,420 --> 00:00:03,020] foreign
[00:17:26,339 --> 00:17:31,440] complete uh I mean to complete the
[00:17:28,919 --> 00:17:33,419] recipe here like uh basically complete
[00:17:31,440 --> 00:17:35,100] the test here and we need to like have
[00:17:33,419 --> 00:17:37,140] the following which is a list of file
[00:17:35,100 --> 00:17:40,020] adding to the ESL as well like this is
[00:17:37,140 --> 00:17:42,960] the template and we have the ASB spoof
[00:17:40,020 --> 00:17:45,120] one and as facebook.shu something like
[00:17:42,960 --> 00:17:48,480] that and we have the es stand tutorial
[00:17:45,120 --> 00:17:50,340] here as well and okay so there's uh
[00:17:48,480 --> 00:17:53,700] actually there's an issue here like I
[00:17:50,340 --> 00:17:56,160] hope it changes very soon here so notice
[00:17:53,700 --> 00:17:59,160] that this is actually not from uh so
[00:17:56,160 --> 00:18:01,980] it's kind of separated so it is outside
[00:17:59,160 --> 00:18:04,320] of the template so it's not exactly the
[00:18:01,980 --> 00:18:06,240] stepping here well
[00:18:04,320 --> 00:18:10,860] and noted that because of the same link
[00:18:06,240 --> 00:18:12,780] like the Asus booth.sh for this one and
[00:18:10,860 --> 00:18:14,940] this one which we both want the
[00:18:12,780 --> 00:18:18,679] checkpoint one is essentially the same
[00:18:14,940 --> 00:18:18,679] for checkpoint two uh
[00:18:22,640 --> 00:18:27,059] and for the later stage we'll be doing
[00:18:25,080 --> 00:18:29,100] start with the ASP smooth data
[00:18:27,059 --> 00:18:31,320] preparation and as discussed in the
[00:18:29,100 --> 00:18:34,260] warm-up session is with school frames to
[00:18:31,320 --> 00:18:36,360] conduct a binary classification and as a
[00:18:34,260 --> 00:18:39,179] test layout it's a bit difficult to be
[00:18:36,360 --> 00:18:42,059] like uh compared to the ASR task we'll
[00:18:39,179 --> 00:18:44,520] be touching the here today to keep the
[00:18:42,059 --> 00:18:46,620] Simplicity we still use the exact same
[00:18:44,520 --> 00:18:49,140] file as the first tutorial which is the
[00:18:46,620 --> 00:18:51,539] web.sap text and other than to speaker
[00:18:49,140 --> 00:18:53,340] and speaker to authors and but on the
[00:18:51,539 --> 00:18:57,000] other hand we change the format of task
[00:18:53,340 --> 00:18:59,760] uh text into the author's ID plus one
[00:18:57,000 --> 00:19:01,919] and zero and this what zero means that
[00:18:59,760 --> 00:19:03,120] is actually the real speech and once
[00:19:01,919 --> 00:19:06,600] that is a fixed speed from the
[00:19:03,120 --> 00:19:09,059] synthesizer so which make it makes our
[00:19:06,600 --> 00:19:11,700] life quite easy so we can directly using
[00:19:09,059 --> 00:19:13,860] the format data and so on but if you
[00:19:11,700 --> 00:19:16,320] have different layouts probably you need
[00:19:13,860 --> 00:19:18,960] to change it a bit to be formulated into
[00:19:16,320 --> 00:19:21,240] your own structure so but that will be
[00:19:18,960 --> 00:19:23,340] making it quite difficult like in terms
[00:19:21,240 --> 00:19:26,940] of the layout to be using the existing
[00:19:23,340 --> 00:19:29,100] method from Cloudy so if you want to
[00:19:26,940 --> 00:19:31,320] learn more you can either check for
[00:19:29,100 --> 00:19:32,940] example the dilation recipe or the
[00:19:31,320 --> 00:19:35,700] street translation recipe and
[00:19:32,940 --> 00:19:39,120] essentially they are like output is not
[00:19:35,700 --> 00:19:40,500] the same as the normal ASR task so that
[00:19:39,120 --> 00:19:43,200] will be making some you know like a
[00:19:40,500 --> 00:19:45,840] hints of how to make such kind of tasks
[00:19:43,200 --> 00:19:47,700] to be functioning in our cases
[00:19:45,840 --> 00:19:50,580] and later we have the download data set
[00:19:47,700 --> 00:19:55,020] and basically this is a subset of the
[00:19:50,580 --> 00:19:57,240] Asus book 2020 to 2019 challenge here so
[00:19:55,020 --> 00:20:01,440] you'll be following that and to follow
[00:19:57,240 --> 00:20:05,100] to formulate the whole structure here
[00:20:01,440 --> 00:20:07,320] in terms of the prepared data will be uh
[00:20:05,100 --> 00:20:09,660] we already make the test template to be
[00:20:07,320 --> 00:20:12,539] simple as possible so the data operation
[00:20:09,660 --> 00:20:15,480] will be only two stages will be much uh
[00:20:12,539 --> 00:20:17,520] easier than the original task in the ASR
[00:20:15,480 --> 00:20:20,640] if you remember there there's also like
[00:20:17,520 --> 00:20:22,620] to build up the tokenizer and also you
[00:20:20,640 --> 00:20:24,419] want to build up that speed the
[00:20:22,620 --> 00:20:26,520] preservation over the time remove long
[00:20:24,419 --> 00:20:28,200] shot offices and so on but for here we
[00:20:26,520 --> 00:20:30,299] only have two stages that the first one
[00:20:28,200 --> 00:20:32,580] is the basic data preparation and
[00:20:30,299 --> 00:20:35,340] formulating the data into the structure
[00:20:32,580 --> 00:20:38,460] that we have defined here and also the
[00:20:35,340 --> 00:20:40,140] later cases is to try into like go
[00:20:38,460 --> 00:20:43,440] through the waveform add that to format
[00:20:40,140 --> 00:20:44,960] the web into our like a favorable like
[00:20:43,440 --> 00:20:48,240] structure
[00:20:44,960 --> 00:20:51,179] and later for the as with crack stats
[00:20:48,240 --> 00:20:52,620] which is come to the like the checkpoint
[00:20:51,179 --> 00:20:55,140] one
[00:20:52,620 --> 00:20:57,179] so similar to the previous tutorial like
[00:20:55,140 --> 00:20:58,919] we need to collect the statistics for
[00:20:57,179 --> 00:21:02,820] the data like not only for the back
[00:20:58,919 --> 00:21:05,640] sheet but also for the uh I mean getting
[00:21:02,820 --> 00:21:07,500] the overall like the global mean and
[00:21:05,640 --> 00:21:10,260] variance over the data so that we can do
[00:21:07,500 --> 00:21:11,700] the normalization later and basically in
[00:21:10,260 --> 00:21:15,900] this process like the data will be
[00:21:11,700 --> 00:21:17,820] passed into an iteratable like uh louder
[00:21:15,900 --> 00:21:20,039] so however like remember that the text
[00:21:17,820 --> 00:21:21,960] file is no longer the format as the ASR
[00:21:20,039 --> 00:21:24,000] recipe therefore we need to use another
[00:21:21,960 --> 00:21:26,580] data loader to allow the corresponding
[00:21:24,000 --> 00:21:28,679] information unfortunately we have a wide
[00:21:26,580 --> 00:21:33,200] range of data loaders for choices which
[00:21:28,679 --> 00:21:33,200] is listed here if you check here
[00:21:35,460 --> 00:21:41,039] cool yeah you can see that we have lots
[00:21:38,220 --> 00:21:42,780] of different uh like uh data structures
[00:21:41,039 --> 00:21:45,480] here
[00:21:42,780 --> 00:21:47,820] if you're seeing details and there's
[00:21:45,480 --> 00:21:50,340] like a key here which is a note that how
[00:21:47,820 --> 00:21:51,960] we can call this specific data types and
[00:21:50,340 --> 00:21:55,020] for each of the tabs we will be having
[00:21:51,960 --> 00:21:56,760] the like uh how this is kind of going
[00:21:55,020 --> 00:21:59,159] through the data like okay the audio
[00:21:56,760 --> 00:22:02,100] format tabs and like the Cloudy louder
[00:21:59,159 --> 00:22:04,500] and also like the text ins and what we
[00:22:02,100 --> 00:22:06,179] have the authors ID and with following
[00:22:04,500 --> 00:22:08,159] with that and also have to say
[00:22:06,179 --> 00:22:11,760] experience and will be authors at the
[00:22:08,159 --> 00:22:12,780] end which separated by comma so there we
[00:22:11,760 --> 00:22:15,120] have we already have like different
[00:22:12,780 --> 00:22:18,600] kinds of format right so here like uh
[00:22:15,120 --> 00:22:21,419] using this we can start to build up like
[00:22:18,600 --> 00:22:23,720] uh to choose like which correct format
[00:22:21,419 --> 00:22:28,080] and replace the replacement in the as
[00:22:23,720 --> 00:22:31,820] facebook.sh so the exact part we are
[00:22:28,080 --> 00:22:31,820] referring to is like the
[00:22:32,700 --> 00:22:37,919] yes so if you see the differences like
[00:22:35,159 --> 00:22:40,260] actually we have this whole files into
[00:22:37,919 --> 00:22:42,799] that and if you search for the
[00:22:40,260 --> 00:22:42,799] replacement
[00:22:45,960 --> 00:22:52,440] is so note that we already we have four
[00:22:49,500 --> 00:22:54,600] parts to be doing the replace me you'll
[00:22:52,440 --> 00:22:57,360] see that you can see here first one is
[00:22:54,600 --> 00:23:01,039] for the clock stats which is in the
[00:22:57,360 --> 00:23:05,100] stage three and we also have the later
[00:23:01,039 --> 00:23:07,559] two at the training as well
[00:23:05,100 --> 00:23:10,620] so sometimes I have the issue with for
[00:23:07,559 --> 00:23:12,900] example this have a actual black here so
[00:23:10,620 --> 00:23:15,059] which uh basically is because that you
[00:23:12,900 --> 00:23:18,179] can see that we basically by using the
[00:23:15,059 --> 00:23:20,520] calculation of the string over the uh
[00:23:18,179 --> 00:23:23,100] options here which is have a variable
[00:23:20,520 --> 00:23:25,860] here and notice that this variable is
[00:23:23,100 --> 00:23:27,659] essentially a string so in case that we
[00:23:25,860 --> 00:23:30,720] want to separate it out like different
[00:23:27,659 --> 00:23:32,640] uh options here we need to have an
[00:23:30,720 --> 00:23:34,200] actual space at the end so that we can
[00:23:32,640 --> 00:23:36,659] separate it out so if you can see like
[00:23:34,200 --> 00:23:39,360] we firstly have these options and then
[00:23:36,659 --> 00:23:42,659] later we use these options here and we
[00:23:39,360 --> 00:23:45,120] just using it as a string and if we have
[00:23:42,659 --> 00:23:46,500] this blank we can separate it out if we
[00:23:45,120 --> 00:23:49,799] do not have the black that will be
[00:23:46,500 --> 00:23:51,240] making the whole config to be connected
[00:23:49,799 --> 00:23:52,860] together like some of the string
[00:23:51,240 --> 00:23:54,780] database and name and tab will be
[00:23:52,860 --> 00:23:56,640] connected directly to the shape file and
[00:23:54,780 --> 00:23:59,760] that will be making the data not able to
[00:23:56,640 --> 00:24:02,760] be part part like passed into different
[00:23:59,760 --> 00:24:05,039] uh arguments and so on so we'll be
[00:24:02,760 --> 00:24:08,039] following this part we need to have
[00:24:05,039 --> 00:24:09,480] actual space here
[00:24:08,039 --> 00:24:11,640] cool
[00:24:09,480 --> 00:24:14,039] but here we won't we wait for you like
[00:24:11,640 --> 00:24:15,780] to be going through it now so we'll be
[00:24:14,039 --> 00:24:17,400] leaving some time for you to investigate
[00:24:15,780 --> 00:24:20,280] that but for now that will be continue
[00:24:17,400 --> 00:24:23,100] for the later cases and trying to
[00:24:20,280 --> 00:24:26,220] disgust the whole section here and later
[00:24:23,100 --> 00:24:28,799] you can fix like this part of your own
[00:24:26,220 --> 00:24:30,900] Okay so
[00:24:28,799 --> 00:24:32,940] after I finish this collect status we'll
[00:24:30,900 --> 00:24:34,559] be going through the modal parts and in
[00:24:32,940 --> 00:24:36,480] this section will be defined the as
[00:24:34,559 --> 00:24:38,700] Facebook model and use the model to
[00:24:36,480 --> 00:24:40,740] conduct the training of AIS with task
[00:24:38,700 --> 00:24:42,900] but either understanding here we will
[00:24:40,740 --> 00:24:44,760] first use the encoder to convert the
[00:24:42,900 --> 00:24:46,799] speech features into hidden
[00:24:44,760 --> 00:24:49,020] representation you then use the decoder
[00:24:46,799 --> 00:24:50,880] to conduct the classification and
[00:24:49,020 --> 00:24:53,100] firstly we are going to focus in on the
[00:24:50,880 --> 00:24:55,320] encoder part so this have a long history
[00:24:53,100 --> 00:24:57,659] over discussion of speech encoder in our
[00:24:55,320 --> 00:24:59,640] community and given the sequential
[00:24:57,659 --> 00:25:02,039] perspective people firstly imagine like
[00:24:59,640 --> 00:25:04,020] recurrent neural ranks record neural
[00:25:02,039 --> 00:25:05,460] networks and more recently we are
[00:25:04,020 --> 00:25:06,720] focusing on the conformal products we
[00:25:05,460 --> 00:25:09,000] should already like discussed on Monday
[00:25:06,720 --> 00:25:11,580] uh which is kind of basically an
[00:25:09,000 --> 00:25:13,200] extensional to the Transformer blogs and
[00:25:11,580 --> 00:25:15,120] in the previous setting we use a
[00:25:13,200 --> 00:25:17,039] Transformer blocks look like stats
[00:25:15,120 --> 00:25:19,860] however this time we will want to switch
[00:25:17,039 --> 00:25:22,860] it to the conformer
[00:25:19,860 --> 00:25:26,700] to make it happen so we basically want
[00:25:22,860 --> 00:25:29,400] to like using the already like a already
[00:25:26,700 --> 00:25:31,919] implemented conformer in the ASR part so
[00:25:29,400 --> 00:25:33,900] this is like a very a very good benefit
[00:25:31,919 --> 00:25:36,440] from using yes now so basically we have
[00:25:33,900 --> 00:25:39,120] the very good code result reusability
[00:25:36,440 --> 00:25:41,520] and in terms of doing that we already
[00:25:39,120 --> 00:25:42,480] support the performer Block in the ESR
[00:25:41,520 --> 00:25:45,539] part
[00:25:42,480 --> 00:25:48,360] so it is quite easy to import it into
[00:25:45,539 --> 00:25:50,340] the new task so in the es net adding
[00:25:48,360 --> 00:25:52,559] models that we already have having as
[00:25:50,340 --> 00:25:55,500] simple as two lines of code so please
[00:25:52,559 --> 00:25:58,440] add lines directly to here and I will be
[00:25:55,500 --> 00:26:02,059] showing the place uh like in this file
[00:25:58,440 --> 00:26:02,059] in this differences as well
[00:26:09,299 --> 00:26:11,900] oh
[00:26:12,240 --> 00:26:18,900] oh I see it's because that is it's not
[00:26:14,880 --> 00:26:20,820] there so I need to First be going to the
[00:26:18,900 --> 00:26:22,559] here right cool
[00:26:20,820 --> 00:26:25,799] from here you can see that we have the
[00:26:22,559 --> 00:26:28,020] to do here and basically will be firstly
[00:26:25,799 --> 00:26:30,900] you need to import it from the
[00:26:28,020 --> 00:26:32,940] confirmware Block encoder in which you
[00:26:30,900 --> 00:26:34,740] can follow the exact actually there's
[00:26:32,940 --> 00:26:37,260] already a example here so you can follow
[00:26:34,740 --> 00:26:40,320] here and we import the conformer block
[00:26:37,260 --> 00:26:42,960] and then in the later space
[00:26:40,320 --> 00:26:45,419] in line number 84 it will be at the
[00:26:42,960 --> 00:26:48,000] actual line and to make it a conformer
[00:26:45,419 --> 00:26:49,500] option and notice that the key here you
[00:26:48,000 --> 00:26:51,659] can see the key here is Transformer and
[00:26:49,500 --> 00:26:54,240] you can use conformer key as a key as
[00:26:51,659 --> 00:26:55,860] well for here basically you need to use
[00:26:54,240 --> 00:26:58,080] that because we already set up the
[00:26:55,860 --> 00:26:59,460] config file for that so it will be
[00:26:58,080 --> 00:27:01,559] recommend you to just use the
[00:26:59,460 --> 00:27:03,740] confirmware option here to make it
[00:27:01,559 --> 00:27:03,740] working
[00:27:11,460 --> 00:27:15,480] cool
[00:27:13,159 --> 00:27:18,240] and we'll be not waiting for you this
[00:27:15,480 --> 00:27:19,559] time as well like as I just explained so
[00:27:18,240 --> 00:27:21,900] basically we'll be continued for the
[00:27:19,559 --> 00:27:24,000] next section and we'll be having a lot
[00:27:21,900 --> 00:27:25,919] of time later so you can feel free to
[00:27:24,000 --> 00:27:27,480] debugging on your own and we can discuss
[00:27:25,919 --> 00:27:28,799] it like if you have any other questions
[00:27:27,480 --> 00:27:30,679] later
[00:27:28,799 --> 00:27:33,240] so later for the case like we are
[00:27:30,679 --> 00:27:34,620] targeting at the decoder here in this
[00:27:33,240 --> 00:27:36,360] stage where we finally start the
[00:27:34,620 --> 00:27:38,460] training as a previous tutorial you can
[00:27:36,360 --> 00:27:40,260] use the testable to monitor the process
[00:27:38,460 --> 00:27:41,580] you can execute this one to monitor the
[00:27:40,260 --> 00:27:43,260] process but if you do not want to do
[00:27:41,580 --> 00:27:45,480] that you can just skip this as well it
[00:27:43,260 --> 00:27:48,000] is it's just an optional like position
[00:27:45,480 --> 00:27:49,559] you want to do that so and for after
[00:27:48,000 --> 00:27:51,419] finish the thing holder we also need to
[00:27:49,559 --> 00:27:53,460] create a decoder to conduct prediction
[00:27:51,419 --> 00:27:55,080] and this that the encoder will be
[00:27:53,460 --> 00:27:56,659] generally hidden representation and we
[00:27:55,080 --> 00:27:59,279] want to add a simple decoder to conduct
[00:27:56,659 --> 00:28:01,080] overall hidden representation at the
[00:27:59,279 --> 00:28:03,360] time access and there will be another
[00:28:01,080 --> 00:28:05,640] linear layer to connect the model into a
[00:28:03,360 --> 00:28:07,500] binary classification task and basically
[00:28:05,640 --> 00:28:09,600] you need to fill the missing part into
[00:28:07,500 --> 00:28:11,279] this specific file and to finally start
[00:28:09,600 --> 00:28:12,720] the training for people who are not
[00:28:11,279 --> 00:28:14,940] familiar with the title which please
[00:28:12,720 --> 00:28:17,400] reference with the related resources
[00:28:14,940 --> 00:28:19,020] here like Pro you can basically you can
[00:28:17,400 --> 00:28:20,940] all this information should be enough
[00:28:19,020 --> 00:28:23,039] for you to build the linear decoder
[00:28:20,940 --> 00:28:24,840] noting that there's a final segment you
[00:28:23,039 --> 00:28:26,520] need to apply to the uh to the
[00:28:24,840 --> 00:28:28,740] prediction because that is very
[00:28:26,520 --> 00:28:31,080] important to be make sure that your you
[00:28:28,740 --> 00:28:33,419] use it they are predicting the like
[00:28:31,080 --> 00:28:35,580] probability to use the banner across
[00:28:33,419 --> 00:28:37,620] entropy laws in the package
[00:28:35,580 --> 00:28:39,360] so after that you'll be able to run in
[00:28:37,620 --> 00:28:40,980] this one I will be making it running so
[00:28:39,360 --> 00:28:42,600] this time we also go into the specific
[00:28:40,980 --> 00:28:44,340] Paradox so that is to show you that
[00:28:42,600 --> 00:28:47,700] where you need to add
[00:28:44,340 --> 00:28:49,679] so if you go to the linear decoder here
[00:28:47,700 --> 00:28:52,260] you'll be saying okay there we have like
[00:28:49,679 --> 00:28:54,779] a different to-do's firstly we want to
[00:28:52,260 --> 00:28:56,340] initialize a linear layer and then we
[00:28:54,779 --> 00:28:58,500] will be compute the mean over time
[00:28:56,340 --> 00:28:59,940] domain and then apply a projection layer
[00:28:58,500 --> 00:29:02,159] which is basically a linear layer we
[00:28:59,940 --> 00:29:04,140] defined here and later we'll be cut
[00:29:02,159 --> 00:29:06,240] change the like return value with
[00:29:04,140 --> 00:29:09,080] sigmoid function accordingly and as a
[00:29:06,240 --> 00:29:12,480] output cool
[00:29:09,080 --> 00:29:14,700] and given that we'll be going to the
[00:29:12,480 --> 00:29:17,039] other part so
[00:29:14,700 --> 00:29:20,340] firstly will be here going to the model
[00:29:17,039 --> 00:29:22,440] difference as the next section and for
[00:29:20,340 --> 00:29:24,059] this photo inference as the training is
[00:29:22,440 --> 00:29:26,279] finished we expected to conduct the as
[00:29:24,059 --> 00:29:27,600] Facebook on the test side and to
[00:29:26,279 --> 00:29:29,820] approach I will first you have to finish
[00:29:27,600 --> 00:29:31,919] the inference code base and for our text
[00:29:29,820 --> 00:29:33,539] specifically we need the log probability
[00:29:31,919 --> 00:29:35,880] of the prediction to compute the equal
[00:29:33,539 --> 00:29:39,059] error rate therefore the output should
[00:29:35,880 --> 00:29:40,559] be a float number for each artist and
[00:29:39,059 --> 00:29:43,020] please feel the missing parts with
[00:29:40,559 --> 00:29:47,240] to-doos here and so that will be
[00:29:43,020 --> 00:29:50,700] connecting the specific evaluation here
[00:29:47,240 --> 00:29:54,440] and if we go to this section
[00:29:50,700 --> 00:29:54,440] let me go to this section
[00:30:06,659 --> 00:30:09,659] s
[00:30:12,539 --> 00:30:18,779] okay so this is the file that we are
[00:30:14,820 --> 00:30:19,980] referring to and if you go to here you
[00:30:18,779 --> 00:30:21,899] can see that we actually have the to
[00:30:19,980 --> 00:30:24,179] those here note that this is for
[00:30:21,899 --> 00:30:26,340] exercise two so you do not need to like
[00:30:24,179 --> 00:30:29,279] fill the numbers here you just go into
[00:30:26,340 --> 00:30:31,740] this to this part and then this will be
[00:30:29,279 --> 00:30:34,740] fine together final result so notice
[00:30:31,740 --> 00:30:36,600] that this result is applied a sigmoid at
[00:30:34,740 --> 00:30:37,980] the last but for the final prediction
[00:30:36,600 --> 00:30:41,220] we're expecting to have a log
[00:30:37,980 --> 00:30:43,740] probability so it will be expected that
[00:30:41,220 --> 00:30:45,840] you'll after you get this uh probability
[00:30:43,740 --> 00:30:49,980] from the output you need to return a
[00:30:45,840 --> 00:30:52,320] float number and we Supply a exp to make
[00:30:49,980 --> 00:30:55,260] it like into the normal log probability
[00:30:52,320 --> 00:30:57,659] level sorry you need to apply a load a
[00:30:55,260 --> 00:31:00,140] log procedure to make it into the log
[00:30:57,659 --> 00:31:00,140] probability
[00:31:00,960 --> 00:31:03,620] cool
[00:31:04,020 --> 00:31:07,740] so later for the scoring so basically we
[00:31:06,059 --> 00:31:09,659] have already prepared the scoring
[00:31:07,740 --> 00:31:12,000] scripts for you so you can directly get
[00:31:09,659 --> 00:31:14,220] the ER by after finish all the previous
[00:31:12,000 --> 00:31:16,620] procedures and we'll be getting offender
[00:31:14,220 --> 00:31:19,020] without here
[00:31:16,620 --> 00:31:21,779] and I have a lack of feel it lies for
[00:31:19,020 --> 00:31:23,399] the uh like a Exodus here as well so in
[00:31:21,779 --> 00:31:25,020] the data you just don't know where I
[00:31:23,399 --> 00:31:27,120] already have like some extra data for
[00:31:25,020 --> 00:31:28,500] the training and please try to combine
[00:31:27,120 --> 00:31:29,760] them with the training set and then
[00:31:28,500 --> 00:31:31,679] conduct experiments with the
[00:31:29,760 --> 00:31:33,240] argumentative side you can also require
[00:31:31,679 --> 00:31:35,820] you to change the model configuration
[00:31:33,240 --> 00:31:37,200] basically if you achieve a better if I
[00:31:35,820 --> 00:31:40,440] already than the previous experiment you
[00:31:37,200 --> 00:31:42,840] can get the bonus Point here and which
[00:31:40,440 --> 00:31:45,120] basically is exactly quite similar to
[00:31:42,840 --> 00:31:46,860] the last time like the last tutorial we
[00:31:45,120 --> 00:31:49,860] have like we want we want you to build
[00:31:46,860 --> 00:31:52,500] that up like a set from scratch but
[00:31:49,860 --> 00:31:53,940] notice that basically this is quite a
[00:31:52,500 --> 00:31:56,580] little bit different from the original
[00:31:53,940 --> 00:31:58,919] ASR popular the data format is a bit
[00:31:56,580 --> 00:32:01,440] changed right
[00:31:58,919 --> 00:32:03,480] well for the access has two uh this is
[00:32:01,440 --> 00:32:04,919] because like one major issue for here
[00:32:03,480 --> 00:32:07,500] for the speech and test moving research
[00:32:04,919 --> 00:32:09,179] is the generation to unseen attacks so
[00:32:07,500 --> 00:32:10,980] notice that actually the training and
[00:32:09,179 --> 00:32:14,399] test that we have we are using like
[00:32:10,980 --> 00:32:16,740] specific as or original real speech and
[00:32:14,399 --> 00:32:18,600] also the synthetic speech from one of
[00:32:16,740 --> 00:32:20,520] the synthesizer but for the action for
[00:32:18,600 --> 00:32:23,460] the output specifically actually we are
[00:32:20,520 --> 00:32:25,860] hiding like different synthesizers which
[00:32:23,460 --> 00:32:27,720] is not the same as the training set so
[00:32:25,860 --> 00:32:30,840] exactly like we need to generalize that
[00:32:27,720 --> 00:32:32,760] to the Unseen text right so
[00:32:30,840 --> 00:32:34,740] um basically the sentences matter that
[00:32:32,760 --> 00:32:37,679] are not saying the trillion uh
[00:32:34,740 --> 00:32:38,940] anti-spoofing models in fact like for
[00:32:37,679 --> 00:32:41,640] here
[00:32:38,940 --> 00:32:44,159] the test set in our scenario is exactly
[00:32:41,640 --> 00:32:46,440] the same case recently there's like a uh
[00:32:44,159 --> 00:32:48,600] one case one class learning method that
[00:32:46,440 --> 00:32:49,919] compacts the newer like natural speech
[00:32:48,600 --> 00:32:51,480] representation and separate them from
[00:32:49,919 --> 00:32:53,940] the fake speech with a certain margin
[00:32:51,480 --> 00:32:56,100] and then the inviting space so we'll
[00:32:53,940 --> 00:32:58,980] actually have implement the am which is
[00:32:56,100 --> 00:33:02,100] like a generalized version of the one
[00:32:58,980 --> 00:33:04,440] class like soft Max here and we're
[00:33:02,100 --> 00:33:07,500] expecting you to like finish this whole
[00:33:04,440 --> 00:33:10,140] OC sub Max Plus and you can follow the
[00:33:07,500 --> 00:33:11,940] to see the information method but it's
[00:33:10,140 --> 00:33:14,279] kind of basically you can you need to
[00:33:11,940 --> 00:33:16,559] also change the config to make it like a
[00:33:14,279 --> 00:33:18,840] working internal training and if you
[00:33:16,559 --> 00:33:20,940] successfully implement the OC submit and
[00:33:18,840 --> 00:33:22,740] get similar battery or you can get a
[00:33:20,940 --> 00:33:27,059] bonus Point here
[00:33:22,740 --> 00:33:31,080] cool so this is uh the part of all my
[00:33:27,059 --> 00:33:33,419] talks for today and uh you're expecting
[00:33:31,080 --> 00:33:36,659] to finish all the like the in-class
[00:33:33,419 --> 00:33:38,519] checkpoint in this class later and thank
[00:33:36,659 --> 00:33:42,140] you very much and
[00:33:38,519 --> 00:33:42,140] so this is the question time
